time_s,raw_adc
38.9670,758
38.9670,754
38.9671,739
38.9671,713
38.9672,695
38.9672,667
38.9673,632
38.9673,616
38.9674,625
38.9674,580
38.9675,560
38.9675,554
38.9676,527
38.9676,523
38.9677,533
38.9677,473
38.9678,483
38.9678,474
38.9679,463
38.9679,473
38.9680,452
38.9680,465
38.9681,445
38.9681,419
38.9682,431
38.9682,406
38.9683,390
38.9683,363
38.9684,343
38.9685,293
38.9685,292
38.9686,269
38.9686,233
38.9687,201
38.9687,170
38.9688,147
38.9688,124
38.9689,91
38.9689,90
38.9690,73
38.9690,78
38.9691,38
38.9691,38
38.9692,15
38.9692,0
38.9693,0
38.9693,0
38.9694,0
38.9694,0
38.9695,0
38.9695,0
38.9696,0
38.9696,0
38.9697,0
38.9697,0
38.9698,0
38.9698,0
38.9699,0
38.9699,0
38.9700,0
38.9700,0
38.9701,0
38.9701,0
38.9702,0
38.9702,0
38.9703,0
38.9703,0
38.9704,0
38.9704,0
38.9705,0
38.9706,0
38.9706,0
38.9707,0
38.9707,0
38.9708,0
38.9708,0
38.9709,0
38.9709,0
38.9710,0
38.9710,0
38.9711,0
38.9711,0
38.9712,0
38.9712,0
38.9713,0
38.9713,0
38.9714,0
38.9714,0
38.9715,0
38.9715,0
38.9716,0
38.9716,0
38.9717,0
38.9717,0
38.9718,0
38.9718,0
38.9719,0
38.9719,0
38.9720,0
38.9720,0
38.9721,0
38.9721,0
38.9722,0
38.9722,0
38.9723,0
38.9723,0
38.9724,0
38.9724,0
38.9725,0
38.9726,0
38.9726,0
38.9727,0
38.9727,0
38.9728,0
38.9728,0
38.9729,0
38.9729,0
38.9730,0
38.9730,0
38.9731,0
38.9731,0
38.9732,0
38.9732,0
38.9733,0
38.9733,0
38.9734,0
38.9734,0
38.9735,0
38.9735,0
38.9736,0
38.9736,0
38.9737,0
38.9737,0
38.9738,0
38.9738,0
38.9739,0
38.9739,0
38.9740,0
38.9740,0
38.9741,0
38.9741,0
38.9742,0
38.9742,0
38.9743,11
38.9743,22
38.9744,11
38.9744,5
38.9745,0
38.9745,0
38.9746,0
38.9747,0
38.9747,1
38.9748,0
38.9748,10
38.9749,0
38.9749,16
38.9750,8
38.9750,21
38.9751,56
38.9751,20
38.9752,14
38.9752,25
38.9753,34
38.9753,18
38.9754,31
38.9754,47
38.9755,47
38.9755,49
38.9756,51
38.9756,50
38.9757,54
38.9757,46
38.9758,53
38.9758,52
38.9759,67
38.9759,56
38.9760,47
38.9760,77
38.9761,142
38.9761,253
38.9762,356
38.9762,452
38.9763,543
38.9763,591
38.9764,614
38.9764,625
38.9765,628
38.9765,593
38.9766,571
38.9766,523
38.9767,478
38.9768,441
38.9768,385
38.9769,339
38.9769,303
38.9770,293
38.9770,258
38.9771,252
38.9771,241
38.9772,244
38.9772,230
38.9773,212
38.9773,205
38.9774,248
38.9774,204
38.9775,189
38.9775,178
38.9776,143
38.9776,139
38.9777,135
38.9777,89
38.9778,77
38.9778,71
38.9779,61
38.9779,30
38.9780,31
38.9780,26
38.9781,2
38.9781,14
38.9782,11
38.9782,23
38.9783,14
38.9783,26
38.9784,22
38.9784,8
38.9785,8
38.9785,0
38.9786,0
38.9786,3
38.9787,0
38.9787,0
38.9788,0
38.9789,0
38.9789,0
38.9790,1
38.9790,7
38.9791,0
38.9791,8
38.9792,14
38.9792,24
38.9793,36
38.9793,25
38.9794,23
38.9794,13
38.9795,9
38.9795,6
38.9796,1
38.9796,0
38.9797,9
38.9797,0
38.9798,0
38.9798,0
38.9799,0
38.9799,0
38.9800,0
38.9800,0
38.9801,0
38.9801,0
38.9802,0
38.9802,0
38.9803,0
38.9803,0
38.9804,0
38.9804,0
38.9805,0
38.9805,0
38.9806,0
38.9806,0
38.9807,0
38.9807,0
38.9808,0
38.9808,0
38.9809,0
38.9810,6
38.9810,6
38.9811,24
38.9811,25
38.9812,23
38.9812,2
38.9813,5
38.9813,7
38.9814,0
38.9814,0
38.9815,0
38.9815,0
38.9816,0
38.9816,0
38.9817,0
38.9817,0
38.9818,0
38.9818,0
38.9819,0
38.9819,0
38.9820,0
38.9820,0
38.9821,0
38.9821,0
38.9822,0
38.9822,0
38.9823,0
38.9823,0
38.9824,0
38.9824,0
38.9825,0
38.9825,0
38.9826,0
38.9826,0
38.9827,0
38.9827,0
38.9828,0
38.9828,0
38.9829,0
38.9829,0
38.9830,0
38.9831,0
38.9831,0
38.9832,0
38.9832,0
38.9833,0
38.9833,0
38.9834,0
38.9834,0
38.9835,0
38.9835,0
38.9836,0
38.9836,0
38.9837,0
38.9837,0
38.9838,0
38.9838,0
38.9839,0
38.9839,0
38.9840,0
38.9840,4
38.9841,4
38.9841,0
38.9842,0
38.9842,0
38.9843,0
38.9843,0
38.9844,7
38.9844,4
38.9845,0
38.9845,6
38.9846,4
38.9846,8
38.9847,8
38.9847,2
38.9848,6
38.9848,17
38.9849,14
38.9849,11
38.9850,11
38.9851,5
38.9851,20
38.9852,11
38.9852,17
38.9853,23
38.9853,11
38.9854,11
38.9854,15
38.9855,0
38.9855,17
38.9856,11
38.9856,18
38.9857,6
38.9857,2
38.9858,7
38.9858,17
38.9859,16
38.9859,6
38.9860,8
38.9860,12
38.9861,5
38.9861,16
38.9862,0
38.9862,5
38.9863,6
38.9863,2
38.9864,0
38.9864,0
38.9865,5
38.9865,9
38.9866,0
38.9866,0
38.9867,2
38.9867,11
38.9868,4
38.9868,0
38.9869,0
38.9869,0
38.9870,0
38.9870,0
38.9871,11
38.9872,3
38.9872,0
38.9873,0
38.9873,0
38.9874,6
38.9874,2
38.9875,1
38.9875,14
38.9876,0
38.9876,2
38.9877,10
38.9877,0
38.9878,6
38.9878,0
38.9879,0
38.9879,1
38.9880,2
38.9880,0
38.9881,14
38.9881,0
38.9882,0
38.9882,6
38.9883,0
38.9883,0
38.9884,14
38.9884,2
38.9885,4
38.9885,0
38.9886,0
38.9886,0
38.9887,7
38.9887,0
38.9888,0
38.9888,1
38.9889,1
38.9889,41
38.9890,1
38.9890,0
38.9891,0
38.9891,6
38.9892,6
38.9893,3
38.9893,0
38.9894,10
38.9894,1
38.9895,15
38.9895,8
38.9896,10
38.9896,0
38.9897,0
38.9897,0
38.9898,7
38.9898,1
38.9899,0
38.9899,0
38.9900,5
38.9900,4
38.9901,0
38.9901,0
38.9902,0
38.9902,0
38.9903,0
38.9903,0
38.9904,22
38.9904,9
38.9905,0
38.9905,7
38.9906,9
38.9906,33
38.9907,0
38.9907,14
38.9908,22
38.9908,9
38.9909,13
38.9909,2
38.9910,11
38.9910,0
38.9911,20
38.9911,3
38.9912,19
38.9912,15
38.9913,14
38.9914,10
38.9914,0
38.9915,4
38.9915,1
38.9916,7
38.9916,0
38.9917,0
38.9917,8
38.9918,8
38.9918,0
38.9919,1
38.9919,0
38.9920,0
38.9920,1
38.9921,2
38.9921,7
38.9922,8
38.9922,0
38.9923,0
38.9923,6
38.9924,0
38.9924,6
38.9925,0
38.9925,6
38.9926,0
38.9926,0
38.9927,0
38.9927,4
38.9928,0
38.9928,10
38.9929,0
38.9929,0
38.9930,0
38.9930,0
38.9931,0
38.9931,0
38.9932,0
38.9932,0
38.9933,9
38.9933,5
38.9934,10
38.9935,11
38.9935,0
38.9936,0
38.9936,0
38.9937,8
38.9937,10
38.9938,0
38.9938,12
38.9939,15
38.9939,16
38.9940,6
38.9940,18
38.9941,23
38.9941,6
38.9942,6
38.9942,19
38.9943,340
38.9943,1324
38.9944,4172
38.9944,4754
38.9945,4685
38.9945,4774
38.9946,4746
38.9946,4590
38.9947,4445
38.9947,4267
38.9948,4075
38.9948,3889
38.9949,3718
38.9949,3537
38.9950,3369
38.9950,3185
38.9951,3025
38.9951,2855
38.9952,2720
38.9952,2575
38.9953,2412
38.9953,2288
38.9954,2170
38.9954,2023
38.9955,1926
38.9956,1812
38.9956,1723
38.9957,1592
38.9957,1503
38.9958,1420
38.9958,1350
38.9959,1269
38.9959,1190
38.9960,1141
38.9960,1079
38.9961,983
38.9961,909
38.9962,867
38.9962,805
38.9963,746
38.9963,692
38.9964,637
38.9964,576
38.9965,529
38.9965,475
38.9966,426
38.9966,356
38.9967,344
38.9967,323
38.9968,276
38.9968,254
38.9969,233
38.9969,205
38.9970,183
38.9970,136
38.9971,143
38.9971,129
38.9972,74
38.9972,73
38.9973,0
38.9973,35
38.9974,19
38.9974,16
38.9975,5
38.9976,19
38.9976,0
38.9977,6
38.9977,0
38.9978,3
38.9978,0
38.9979,0
38.9979,0
38.9980,1
38.9980,0
38.9981,0
38.9981,0
38.9982,0
38.9982,0
38.9983,0
38.9983,0
38.9984,0
38.9984,0
38.9985,0
38.9985,0
38.9986,0
38.9986,0
38.9987,13
38.9987,0
38.9988,0
38.9988,0
38.9989,0
38.9989,0
38.9990,0
38.9990,0
38.9991,0
38.9991,0
38.9992,0
38.9992,0
38.9993,0
38.9993,0
38.9994,0
38.9994,0
38.9995,0
38.9995,0
38.9996,0
38.9997,0
38.9997,0
38.9998,0
38.9998,0
38.9999,0
38.9999,0
39.0000,0
39.0000,0
39.0001,0
39.0001,0
39.0002,0
39.0002,0
39.0003,0
39.0003,0
39.0004,0
39.0004,0
39.0005,0
39.0005,0
39.0006,0
39.0006,0
39.0007,0
39.0007,0
39.0008,0
39.0008,0
39.0009,0
39.0009,0
39.0010,0
39.0010,0
39.0011,0
39.0011,0
39.0012,0
39.0012,0
39.0013,0
39.0013,0
39.0014,0
39.0014,0
39.0015,0
39.0015,0
39.0016,0
39.0016,0
39.0017,0
39.0018,0
39.0018,0
39.0019,0
39.0019,0
39.0020,0
39.0020,0
39.0021,0
39.0021,0
39.0022,0
39.0022,0
39.0023,0
39.0023,0
39.0024,0
39.0024,0
39.0025,0
39.0025,0
39.0026,0
39.0026,0
39.0027,0
39.0027,0
39.0028,0
39.0028,0
39.0029,0
39.0029,0
39.0030,0
39.0030,0
39.0031,0
39.0031,0
39.0032,0
39.0032,0
39.0033,0
39.0033,0
39.0034,0
39.0034,0
39.0035,0
39.0035,1
39.0036,0
39.0036,0
39.0037,0
39.0037,9
39.0038,4
39.0039,6
39.0039,4
39.0040,17
39.0040,21
39.0041,22
39.0041,6
39.0042,12
39.0042,15
39.0043,5
39.0043,12
39.0044,13
39.0044,24
39.0045,5
39.0045,17
39.0046,6
39.0046,0
39.0047,0
39.0047,8
39.0048,1
39.0048,2
39.0049,11
39.0049,7
39.0050,0
39.0050,14
39.0051,6
39.0051,10
39.0052,11
39.0052,30
39.0053,11
39.0053,29
39.0054,18
39.0054,0
39.0055,11
39.0055,9
39.0056,0
39.0056,14
39.0057,7
39.0057,1
39.0058,3
39.0058,9
39.0059,5
39.0060,0
39.0060,0
39.0061,1
39.0061,0
39.0062,10
39.0062,0
39.0063,4
39.0063,0
39.0064,0
39.0064,0
39.0065,0
39.0065,0
39.0066,0
39.0066,0
39.0067,0
39.0067,14
39.0068,0
39.0068,0
39.0069,0
39.0069,0
39.0070,0
39.0070,0
39.0071,0
39.0071,0
39.0072,7
39.0072,0
39.0073,0
39.0073,0
39.0074,0
39.0074,0
39.0075,0
39.0075,7
39.0076,0
39.0076,0
39.0077,0
39.0077,6
39.0078,9
39.0078,0
39.0079,10
39.0079,0
39.0080,2
39.0081,5
39.0081,0
39.0082,0
39.0082,0
39.0083,0
39.0083,14
39.0084,0
39.0084,11
39.0085,0
39.0085,2
39.0086,0
39.0086,0
39.0087,5
39.0087,15
39.0088,18
39.0088,12
39.0089,0
39.0089,5
39.0090,6
39.0090,3
39.0091,0
39.0091,5
39.0092,4
39.0092,0
39.0093,1
39.0093,0
39.0094,0
39.0094,0
39.0095,0
39.0095,0
39.0096,0
39.0096,0
39.0097,0
39.0097,0
39.0098,0
39.0098,0
39.0099,4
39.0099,0
39.0100,5
39.0101,0
39.0101,4
39.0102,0
39.0102,2
39.0103,6
39.0103,3
39.0104,0
39.0104,4
39.0105,9
39.0105,0
39.0106,0
39.0106,0
39.0107,0
39.0107,2
39.0108,4
39.0108,8
39.0109,0
39.0109,0
39.0110,13
39.0110,0
39.0111,0
39.0111,0
39.0112,0
39.0112,0
39.0113,10
39.0113,69
39.0114,129
39.0114,173
39.0115,177
39.0115,201
39.0116,186
39.0116,193
39.0117,162
39.0117,172
39.0118,161
39.0118,164
39.0119,160
39.0119,109
39.0120,187
39.0120,376
39.0121,465
39.0122,622
39.0122,744
39.0123,851
39.0123,953
39.0124,1105
39.0124,1141
39.0125,1037
39.0125,869
39.0126,702
39.0126,550
39.0127,425
39.0127,368
39.0128,335
39.0128,322
39.0129,332
39.0129,315
39.0130,327
39.0130,317
39.0131,313
39.0131,287
39.0132,276
39.0132,245
39.0133,169
39.0133,207
39.0134,183
39.0134,163
39.0135,162
39.0135,175
39.0136,167
39.0136,159
39.0137,160
39.0137,134
39.0138,128
39.0138,111
39.0139,97
39.0139,78
39.0140,64
39.0140,59
39.0141,48
39.0141,47
39.0142,47
39.0143,48
39.0143,41
39.0144,50
39.0144,51
39.0145,73
39.0145,100
39.0146,112
39.0146,122
39.0147,129
39.0147,137
39.0148,118
39.0148,130
39.0149,123
40.0618,57
40.0619,62
40.0619,67
40.0620,87
40.0620,66
40.0621,66
40.0622,66
40.0622,62
40.0623,47
40.0623,46
40.0624,28
40.0624,42
40.0625,27
40.0626,33
40.0626,23
40.0627,33
40.0627,37
40.0628,46
40.0628,51
40.0629,47
40.0629,66
40.0630,62
40.0631,57
40.0631,54
40.0632,51
40.0632,46
40.0633,40
40.0633,29
40.0634,11
40.0634,0
40.0635,0
40.0636,0
40.0636,0
40.0637,0
40.0637,16
40.0638,35
40.0638,47
40.0639,82
40.0639,92
40.0640,115
40.0641,97
40.0641,117
40.0642,119
40.0642,86
40.0643,87
40.0643,70
40.0644,62
40.0645,31
40.0645,24
40.0646,14
40.0646,0
40.0647,8
40.0647,0
40.0648,0
40.0648,17
40.0649,18
40.0650,12
40.0650,9
40.0651,13
40.0651,73
40.0652,0
40.0652,0
40.0653,0
40.0653,0
40.0654,0
40.0655,0
40.0655,0
40.0656,0
40.0656,0
40.0657,0
40.0657,0
40.0658,0
40.0658,2
40.0659,19
40.0660,25
40.0660,23
40.0661,35
40.0661,25
40.0662,11
40.0662,10
40.0663,14
40.0664,5
40.0664,0
40.0665,0
40.0665,0
40.0666,0
40.0666,0
40.0667,0
40.0667,0
40.0668,0
40.0669,0
40.0669,6
40.0670,8
40.0670,0
40.0671,0
40.0671,0
40.0672,0
40.0672,0
40.0673,0
40.0674,0
40.0674,5
40.0675,22
40.0675,32
40.0676,44
40.0676,68
40.0677,47
40.0677,40
40.0678,50
40.0679,56
40.0679,66
40.0680,63
40.0680,63
40.0681,48
40.0681,56
40.0682,62
40.0683,45
40.0683,46
40.0684,47
40.0684,36
40.0685,35
40.0685,35
40.0686,53
40.0686,62
40.0687,53
40.0688,62
40.0688,62
40.0689,61
40.0689,87
40.0690,75
40.0690,80
40.0691,63
40.0691,53
40.0692,50
40.0693,59
40.0693,45
40.0694,52
40.0694,33
40.0695,36
40.0695,28
40.0696,28
40.0696,30
40.0697,56
40.0698,55
40.0698,62
40.0699,73
40.0699,78
40.0700,67
40.0700,71
40.0701,51
40.0701,59
40.0702,47
40.0703,47
40.0703,32
40.0704,22
40.0704,22
40.0705,12
40.0705,21
40.0706,10
40.0707,17
40.0707,30
40.0708,46
40.0708,64
40.0709,85
40.0709,97
40.0710,109
40.0710,135
40.0711,146
40.0712,181
40.0712,171
40.0713,188
40.0713,183
40.0714,210
40.0714,267
40.0715,212
40.0715,210
40.0716,206
40.0717,208
40.0717,184
40.0718,188
40.0718,184
40.0719,180
40.0719,180
40.0720,188
40.0720,196
40.0721,193
40.0722,202
40.0722,188
40.0723,208
40.0723,208
40.0724,196
40.0724,184
40.0725,173
40.0726,163
40.0726,140
40.0727,134
40.0727,87
40.0728,86
40.0728,74
40.0729,71
40.0729,63
40.0730,72
40.0731,51
40.0731,40
40.0732,36
40.0732,26
40.0733,26
40.0733,2
40.0734,15
40.0734,0
40.0735,0
40.0736,0
40.0736,0
40.0737,0
40.0737,0
40.0738,0
40.0738,0
40.0739,0
40.0739,0
40.0740,2
40.0741,5
40.0741,0
40.0742,0
40.0742,14
40.0743,0
40.0743,0
40.0744,0
40.0745,0
40.0745,0
40.0746,0
40.0746,0
40.0747,0
40.0747,0
40.0748,0
40.0748,0
40.0749,0
40.0750,0
40.0750,0
40.0751,15
40.0751,24
40.0752,14
40.0752,6
40.0753,11
40.0753,14
40.0754,1
40.0755,0
40.0755,0
40.0756,0
40.0756,0
40.0757,0
40.0757,0
40.0758,0
40.0758,0
40.0759,0
40.0760,0
40.0760,0
40.0761,0
40.0761,0
40.0762,0
40.0762,0
40.0763,0
40.0764,0
40.0764,0
40.0765,0
40.0765,0
40.0766,0
40.0766,0
40.0767,0
40.0767,0
40.0768,0
40.0769,0
40.0769,0
40.0770,0
40.0770,0
40.0771,0
40.0771,0
40.0772,0
40.0772,3
40.0773,13
40.0774,12
40.0774,19
40.0775,22
40.0775,22
40.0776,27
40.0776,28
40.0777,19
40.0777,19
40.0778,25
40.0779,28
40.0779,16
40.0780,9
40.0780,21
40.0781,9
40.0781,0
40.0782,11
40.0783,4
40.0783,2
40.0784,15
40.0784,0
40.0785,0
40.0785,8
40.0786,0
40.0786,0
40.0787,6
40.0788,1
40.0788,0
40.0789,7
40.0789,21
40.0790,0
40.0790,10
40.0791,8
40.0791,0
40.0792,0
40.0793,14
40.0793,4
40.0794,0
40.0794,17
40.0795,8
40.0795,0
40.0796,8
40.0796,0
40.0797,19
40.0798,7
40.0798,5
40.0799,15
40.0799,0
40.0800,0
40.0800,10
40.0801,0
40.0801,0
40.0802,0
40.0803,10
40.0803,0
40.0804,0
40.0804,0
40.0805,1
40.0805,0
40.0806,0
40.0807,0
40.0807,0
40.0808,0
40.0808,0
40.0809,0
40.0809,0
40.0810,0
40.0810,0
40.0811,0
40.0812,0
40.0812,0
40.0813,0
40.0813,0
40.0814,0
40.0814,0
40.0815,8
40.0815,0
40.0816,0
40.0817,0
40.0817,0
40.0818,1
40.0818,5
40.0819,4
40.0819,2
40.0820,14
40.0820,14
40.0821,19
40.0822,13
40.0822,10
40.0823,22
40.0823,19
40.0824,7
40.0824,15
40.0825,0
40.0826,13
40.0826,13
40.0827,18
40.0827,17
40.0828,17
40.0828,9
40.0829,28
40.0829,12
40.0830,5
